DATABASE_ID,MODEL_NAME,BASE_MODEL,PLATFORM,TRIGGER_TYPE,TRIGGER_GROUP_SPRINGS,GRADE,COMBO,GAUGE_1,GAUGE_2,BARREL_CONFIG,DISCIPLINE,RIB_TYPE,RIB_ADJUSTABLE_NOTCH,RIB_HEIGHT,RIB_STYLE_1,RIB_STYLE_2,RIB_STYLE_3
11_High_Tech,High Tech,High Tech,HT,Removable,Flat Springs or Coil Springs,Standard,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
12_High_Tech,High Tech,High Tech,HT,Removable,Flat Springs or Coil Springs,Standard,,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
13_High_Tech,High Tech,High Tech,HT,Removable,Flat Springs or Coil Springs,Standard,Yes,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
14_High_Tech_,High Tech ,High Tech,HT,Removable,Flat Springs or Coil Springs,Standard,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
15_High_Tech_10,High Tech 10,High Tech 10,HT,Removable,Flat Springs or Coil Springs,Standard,,12 GA,,Top Single,Trap,Adjustable,4,17mm,Notch,,
16_High_Tech_10,High Tech 10,High Tech 10,HT,Removable,Flat Springs or Coil Springs,Standard,Yes,12 GA,,Top Single,Trap,Adjustable,4,17mm,Notch,,
17_High_Tech_2020,High Tech 2020,High Tech,HT,Removable,Flat Springs or Coil Springs,2020,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
18_High_Tech_2020,High Tech 2020,High Tech,HT,Removable,Flat Springs or Coil Springs,2020,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
19_High_Tech_2020,High Tech 2020,High Tech,HT,Removable,Flat Springs or Coil Springs,2020,Yes,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
20_High_Tech_2020_3,High Tech 2020 3,High Tech 3,HT,Removable,Flat Springs or Coil Springs,2020,Yes,12 GA,,Over / Under,"Skeet, Sporting",Adjustable,3,8mm,Notch,,
